date_id,date_og,nb_year,quarter_id,nb_month,nm_month,nb_day,nm_day,nb_week,season
1,2024-01-07,2024,2024-Q1,1,January,7,Sunday,2,winter
2,2024-12-04,2024,2024-Q4,12,December,4,Wednesday,49,winter
3,2024-12-27,2024,2024-Q4,12,December,27,Friday,52,winter
4,2024-01-30,2024,2024-Q1,1,January,30,Tuesday,5,winter
5,2024-05-03,2024,2024-Q2,5,May,3,Friday,18,spring
6,2024-04-10,2024,2024-Q2,4,April,10,Wednesday,15,spring
7,2024-06-18,2024,2024-Q2,6,June,18,Tuesday,25,summer
8,2024-09-03,2024,2024-Q3,9,September,3,Tuesday,36,autumn
9,2024-09-26,2024,2024-Q3,9,September,26,Thursday,39,autumn
10,2024-05-26,2024,2024-Q2,5,May,26,Sunday,22,spring
11,2024-10-19,2024,2024-Q4,10,October,19,Saturday,42,autumn
12,2024-08-03,2024,2024-Q3,8,August,3,Saturday,31,summer
13,2024-07-11,2024,2024-Q3,7,July,11,Thursday,28,summer
14,2024-11-11,2024,2024-Q4,11,November,11,Monday,46,autumn
15,2024-11-28,2024,2024-Q4,11,November,28,Thursday,48,autumn
16,2024-03-24,2024,2024-Q1,3,March,24,Sunday,13,spring
17,2024-08-26,2024,2024-Q3,8,August,26,Monday,35,summer
18,2024-01-24,2024,2024-Q1,1,January,24,Wednesday,4,winter
19,2024-10-13,2024,2024-Q4,10,October,13,Sunday,42,autumn
20,2024-02-07,2024,2024-Q1,2,February,7,Wednesday,6,winter
21,2024-11-17,2024,2024-Q4,11,November,17,Sunday,47,autumn
22,2024-08-11,2024,2024-Q3,8,August,11,Sunday,33,summer
23,2024-06-24,2024,2024-Q2,6,June,24,Monday,26,summer
24,2024-10-02,2024,2024-Q4,10,October,2,Wednesday,40,autumn
25,2024-05-09,2024,2024-Q2,5,May,9,Thursday,19,spring
26,2024-08-17,2024,2024-Q3,8,August,17,Saturday,33,summer
27,2024-09-12,2024,2024-Q3,9,September,12,Thursday,37,autumn
28,2024-12-15,2024,2024-Q4,12,December,15,Sunday,51,winter
29,2024-04-22,2024,2024-Q2,4,April,22,Monday,17,spring
30,2024-07-05,2024,2024-Q3,7,July,5,Friday,27,summer
31,2024-03-04,2024,2024-Q1,3,March,4,Monday,10,spring
32,2024-04-02,2024,2024-Q2,4,April,2,Tuesday,14,spring
33,2024-06-12,2024,2024-Q2,6,June,12,Wednesday,24,summer
34,2024-02-13,2024,2024-Q1,2,February,13,Tuesday,7,winter
35,2024-01-21,2024,2024-Q1,1,January,21,Sunday,4,winter
36,2024-03-10,2024,2024-Q1,3,March,10,Sunday,11,spring
37,2024-09-06,2024,2024-Q3,9,September,6,Friday,36,autumn
38,2024-01-01,2024,2024-Q1,1,January,1,Monday,1,winter
39,2024-12-21,2024,2024-Q4,12,December,21,Saturday,51,winter
40,2024-10-25,2024,2024-Q4,10,October,25,Friday,43,autumn
41,2024-02-19,2024,2024-Q1,2,February,19,Monday,8,winter
42,2024-07-31,2024,2024-Q3,7,July,31,Wednesday,31,summer
43,2024-07-25,2024,2024-Q3,7,July,25,Thursday,30,summer
44,2024-04-16,2024,2024-Q2,4,April,16,Tuesday,16,spring
45,2024-06-04,2024,2024-Q2,6,June,4,Tuesday,23,summer
46,2024-02-27,2024,2024-Q1,2,February,27,Tuesday,9,winter
47,2024-06-21,2024,2024-Q2,6,June,21,Friday,25,summer
48,2024-07-14,2024,2024-Q3,7,July,14,Sunday,29,summer
49,2024-05-06,2024,2024-Q2,5,May,6,Monday,19,spring
50,2024-05-29,2024,2024-Q2,5,May,29,Wednesday,22,spring
51,2024-12-01,2024,2024-Q4,12,December,1,Sunday,49,winter
52,2024-12-07,2024,2024-Q4,12,December,7,Saturday,49,winter
53,2024-11-14,2024,2024-Q4,11,November,14,Thursday,46,autumn
54,2024-11-08,2024,2024-Q4,11,November,8,Friday,45,autumn
55,2024-10-16,2024,2024-Q4,10,October,16,Wednesday,42,autumn
56,2024-04-30,2024,2024-Q2,4,April,30,Tuesday,18,spring
57,2024-09-23,2024,2024-Q3,9,September,23,Monday,39,autumn
58,2024-05-23,2024,2024-Q2,5,May,23,Thursday,21,spring
59,2024-08-14,2024,2024-Q3,8,August,14,Wednesday,33,summer
60,2024-07-08,2024,2024-Q3,7,July,8,Monday,28,summer
61,2024-09-29,2024,2024-Q3,9,September,29,Sunday,40,autumn
62,2024-08-23,2024,2024-Q3,8,August,23,Friday,34,summer
63,2024-01-27,2024,2024-Q1,1,January,27,Saturday,4,winter
64,2024-03-27,2024,2024-Q1,3,March,27,Wednesday,13,spring
