order_id,customer_id,date_id,channel_id,status_id,product_id,product_name,category_id,quantity,price,amount
10001,191,121,1,3,132,product 132,5,5,90.90,454.50
10001,191,121,1,3,120,product 120,4,4,52.31,209.24
10001,191,121,1,3,120,product 120,4,2,52.31,104.62
10001,191,121,1,3,92,product 92,1,4,53.00,212.00
10002,50,318,3,2,20,product 20,6,4,.00,.00
10002,50,318,3,2,76,product 76,6,5,80.33,401.65
10002,50,318,3,2,79,product 79,5,3,97.11,291.33
10003,106,297,1,3,162,product 162,6,3,80.20,240.60
10004,338,232,1,2,141,product 141,6,3,.00,.00
10005,272,215,3,1,199,product 199,6,2,54.24,108.48
10006,46,122,1,2,72,product 72,1,1,71.50,71.50
10006,46,122,1,2,88,product 88,5,2,80.50,161.00
10006,46,122,1,2,132,product 132,5,4,90.90,363.60
10006,46,122,1,2,7,product 7,4,2,81.21,162.42
10007,112,110,1,3,168,product 168,2,2,74.53,149.06
10007,112,110,1,3,177,product 177,2,3,93.49,280.47
10007,112,110,1,3,138,product 138,5,1,35.14,35.14
10007,112,110,1,3,54,product 54,4,5,74.90,374.50
10008,327,3,2,3,97,product 97,3,3,116.33,348.99
10008,327,3,2,3,45,product 45,2,4,25.55,102.20
10008,327,3,2,3,126,product 126,2,4,78.97,315.88
10008,327,3,2,3,94,product 94,4,4,66.13,264.52
10009,87,181,1,3,158,product 158,6,3,70.68,212.04
10009,87,181,1,3,166,product 166,1,4,5.00,20.00
10009,87,181,1,3,144,product 144,1,4,5.00,20.00
10009,87,181,1,3,214,product 214,5,3,67.91,203.73
10010,60,289,1,3,56,product 56,1,4,87.67,350.68
10010,60,289,1,3,23,product 23,3,5,82.40,412.00
10010,60,289,1,3,113,product 113,3,5,114.39,571.95
10011,330,9,1,3,85,product 85,5,1,115.71,115.71
10011,330,9,1,3,28,product 28,4,3,83.15,249.45
10011,330,9,1,3,138,product 138,5,1,35.14,35.14
10011,330,9,1,3,148,product 148,5,5,83.49,417.45
10011,330,9,1,3,163,product 163,3,2,37.49,74.98
10012,118,81,1,3,22,product 22,2,2,69.96,139.92
10012,118,81,1,3,26,product 26,3,3,101.49,304.47
