order_id,customer_id,order_date,channel,status,total_amount
10001,191,2024-05-21 16:52:38,Web,Completed,980.36
10002,50,2024-06-06 20:51:17,Mobile,Cancelled,692.98
10003,106,2024-07-27 15:18:13,Web,Completed,240.6
10004,338,2024-03-17 11:10:43,Web,Cancelled,-128.55
10005,272,2024-07-21 12:01:14,Mobile,Refunded,108.48
10006,46,2024-04-28 12:25:58,Web,Cancelled,758.52
10007,112,2024-11-26 08:01:08,Web,Completed,839.17
10008,327,2024-12-27 15:06:23,Marketplace,Completed,1031.59
10009,351,2024-10-28 21:24:23,Web,Completed,455.77
10010,60,2024-03-26 19:26:58,Web,Completed,1334.63
10011,330,2024-09-26 01:49:56,Web,Completed,892.73
10012,118,2024-12-24 10:54:08,Web,Completed,449.39
10013,50,2024-12-03 04:21:18,Web,Completed,187.02
10014,76,2024-11-14 14:19:46,Web,Completed,422.02
10015,189,2024-01-25 03:35:01,Web,Completed,433.65
10016,354,2024-02-24 20:48:52,Web,Completed,602.66
10017,344,2024-10-07 21:51:00,Mobile,Completed,53.56
10018,34,2024-04-21 22:46:45,Web,Completed,205.32
10019,132,2024-06-18 05:16:54,Web,Completed,747.3
10020,309,2024-06-25 08:51:30,Web,Completed,564.44
10021,340,2024-10-01 09:48:36,Web,Completed,406.05
10022,108,2024-09-27 15:57:19,Web,Completed,238.32
10023,89,2024-04-18 02:30:53,Mobile,Completed,247.59
10024,341,2024-10-15 19:18:44,Marketplace,Cancelled,677.68
10025,137,2024-06-19 13:52:59,Mobile,Refunded,497.31
10026,269,2024-08-01 01:47:24,Web,Completed,273.28
10027,123,2024-10-27 23:24:53,Mobile,Completed,384.49
10028,95,2024-04-13 22:09:04,Mobile,Refunded,401.74
10029,320,2024-01-13 20:10:43,Mobile,Refunded,690.06
10030,183,2024-08-27 04:44:05,Mobile,Completed,1481.22
10031,188,2024-04-16 06:16:06,Web,Completed,826.31
10032,58,2024-04-04 21:01:12,Mobile,Completed,2114.91
10033,93,2024-06-27 06:55:31,Web,Completed,561.04
10034,146,2024-11-16 03:21:16,Mobile,Completed,684.17
10035,181,2024-11-06 19:09:32,Mobile,Completed,424.9
10036,10,2024-09-23 13:11:30,Web,Completed,129.09
10037,110,2024-04-08 13:29:26,Mobile,Completed,147.04
10038,245,2024-12-10 21:24:25,Web,Completed,206.4
10039,207,2024-10-27 10:07:54,Web,Completed,1081.49
10040,213,2024-01-14 14:19:00,Mobile,Completed,780.61
10041,317,2024-03-30 06:12:33,Mobile,Completed,1353.81
10042,98,2024-02-14 07:28:52,Web,Completed,797.14
10043,18,2024-04-20 15:36:08,Mobile,Completed,1002.84
10044,5,2024-09-04 03:00:19,Web,Completed,869.98
10045,322,2024-07-21 03:26:47,Web,Completed,675.22
10046,337,2024-02-23 03:12:50,Web,Completed,695.28
10047,190,2024-08-26 16:12:34,Mobile,Completed,448.68
10048,45,2024-08-05 02:32:41,Web,Completed,634.88
10049,25,2024-11-17 05:24:47,Mobile,Completed,879.83
10050,118,2024-04-23 13:13:01,Web,Completed,330.35
10051,39,2024-11-17 00:07:53,Web,Completed,372.01
10052,10,2024-08-27 17:29:11,Web,Completed,410.53
10053,98,2024-04-01 07:25:00,Web,Completed,200.28
10054,138,2024-04-28 00:18:46,Marketplace,Completed,1362.4
10055,297,2024-09-29 03:28:29,Marketplace,Completed,737.66
10056,144,2024-09-09 14:22:59,Marketplace,Completed,198.29
10057,257,2024-08-19 18:32:19,Web,Completed,586.25
10058,191,2024-05-27 04:05:59,Mobile,Completed,194.24
10059,299,2024-05-20 22:37:02,Web,Completed,130.76
10060,116,2024-07-23 00:17:29,Web,Completed,345.28
10061,349,2024-10-10 06:07:36,Mobile,Completed,989.22
10062,90,2024-04-02 10:45:57,Web,Completed,148.16
10063,42,2024-11-23 14:16:10,Web,Completed,446.6
10064,282,2024-03-13 18:01:40,Marketplace,Completed,605.88
10065,198,2024-06-23 21:44:40,Web,Refunded,493
10066,100,2024-04-22 22:25:18,Mobile,Cancelled,1400.64
10067,60,2024-11-30 09:04:58,Web,Cancelled,623.22
10068,119,2024-03-05 02:06:10,Web,Cancelled,7968.97
10069,228,2024-02-16 13:57:28,Web,Completed,97.12
10070,176,2024-09-06 11:56:26,Web,Completed,412.41
10071,42,2024-03-01 15:49:49,Web,Completed,1083.9
10072,99,2024-12-26 21:40:41,Web,Completed,528.4
10073,184,2024-10-05 22:24:05,Web,Completed,985.34
10074,261,2024-11-17 21:30:25,Web,Completed,398.75
10075,207,2024-04-21 12:37:57,Web,Completed,441.11
10076,31,2024-09-29 12:13:53,Marketplace,Completed,382.16
10077,50,2024-08-01 15:48:17,Mobile,Cancelled,353.37
10078,116,2024-06-03 15:08:16,Mobile,Completed,1753.36
10079,252,2024-06-30 10:20:34,Web,Cancelled,688.22
10080,151,2024-01-07 02:40:44,Mobile,Completed,44.61
10081,44,2024-02-23 05:04:49,Mobile,Completed,477.33
10082,93,2024-02-15 09:13:59,Web,Completed,493
10083,211,2024-10-02 07:05:12,Web,Cancelled,188.9
10084,301,2024-04-08 05:50:36,Web,Completed,459.83
10085,84,2024-09-27 14:56:56,Web,Completed,727.86
10086,127,2024-09-16 11:58:17,Web,Completed,526.23
10087,83,2024-02-22 23:58:55,Marketplace,Completed,334.44
10088,151,2024-04-28 15:40:58,Web,Cancelled,561.71
10089,165,2024-04-04 19:35:58,Mobile,Completed,573.66
10090,168,2024-02-11 18:15:40,Marketplace,Cancelled,590.37
10091,56,2024-10-19 05:07:18,Mobile,Cancelled,1487.05
10092,298,2024-05-15 21:05:44,Web,Completed,869.72
10093,202,2024-11-28 23:08:33,Web,Cancelled,278.46
10094,79,2024-11-04 04:23:28,Marketplace,Completed,751.02
10095,149,2024-11-13 13:59:22,Web,Completed,544.24
10096,297,2024-09-27 03:30:27,Web,Completed,503.55
10097,262,2024-07-02 04:18:37,Mobile,Completed,1624.23
10098,340,2024-06-04 05:44:47,Marketplace,Cancelled,866.45
10099,202,2024-05-14 02:23:02,Mobile,Completed,917.79
10100,96,2024-08-17 00:23:37,Mobile,Completed,908.07
10101,52,2024-06-11 12:24:24,Mobile,Completed,182.12
10102,61,2024-11-09 08:12:01,Web,Completed,25.55
10103,192,2024-03-05 09:09:47,Web,Completed,122.22
10104,283,2024-05-13 09:23:53,Mobile,Completed,0
10105,241,2024-06-30 00:51:44,Web,Completed,352.99
10106,113,2024-04-12 16:56:12,Mobile,Completed,1249.54
10107,102,2024-03-25 06:34:29,Web,Completed,1391.3
10108,82,2024-07-23 22:14:39,Web,Completed,693.96
10109,101,2024-02-29 02:40:43,Marketplace,Completed,620
10110,28,2024-10-12 08:15:13,Web,Refunded,241.5
10111,61,2024-05-18 22:15:22,Mobile,Completed,98.16
10112,220,2024-09-30 18:52:57,Web,Completed,500.99
10113,83,2024-01-24 08:04:26,Marketplace,Completed,163.86
10114,336,2024-10-14 17:15:09,Web,Completed,484.38
10115,48,2024-06-20 16:18:08,Mobile,Completed,922.24
10116,316,2024-11-06 17:37:59,Mobile,Cancelled,412.44
10117,303,2024-09-11 02:09:24,Web,Completed,1032.45
10118,211,2024-10-20 09:59:55,Web,Cancelled,110.55
10119,100,2024-08-25 18:19:15,Web,Completed,841.32
10120,158,2024-02-09 21:02:27,Web,Refunded,29.74
10121,225,2024-12-21 23:15:59,Mobile,Completed,465.26
10122,350,2024-05-23 03:01:32,Web,Completed,409.24
10123,102,2024-11-19 07:33:37,Marketplace,Completed,466.32
10124,237,2024-07-04 19:13:35,Mobile,Completed,985.71
10125,300,2024-08-19 07:39:55,Mobile,Completed,161
10126,343,2024-03-07 08:00:21,Web,Completed,272.74
10127,126,2024-11-23 15:10:27,Web,Cancelled,110.4
10128,247,2024-10-15 18:18:52,Marketplace,Refunded,629.84
10129,186,2024-06-11 05:21:10,Marketplace,Completed,720.55
10130,250,2024-06-01 23:46:46,Web,Completed,412.67
10131,123,2024-10-18 14:08:14,Mobile,Completed,363.11
10132,251,2024-03-01 07:21:31,Mobile,Refunded,405.8
10133,318,2024-04-13 20:02:27,Web,Completed,343.24
10134,45,2024-02-21 09:09:16,Web,Completed,426.78
10135,317,2024-07-11 05:55:00,Mobile,Completed,1683.55
10136,91,2024-05-15 23:08:26,Marketplace,Completed,585.94
10137,12,2024-12-23 15:38:36,Marketplace,Completed,93.49
10138,24,2024-11-22 03:53:23,Web,Completed,55.64
10139,183,2024-08-06 13:29:07,Web,Refunded,813.08
10140,334,2024-10-06 08:14:17,Web,Completed,1010.78
10141,61,2024-07-03 23:29:30,Web,Completed,20
10142,357,2024-06-04 07:06:41,Marketplace,Completed,150.61
10143,29,2024-10-14 08:48:52,Web,Completed,884.9
10144,217,2024-05-11 18:26:08,Mobile,Completed,848.95
10145,216,2024-04-24 00:14:59,Web,Cancelled,398.4
10146,56,2024-02-21 15:06:45,Marketplace,Completed,584.51
10147,309,2024-10-30 07:56:44,Web,Completed,418.05
10148,45,2024-10-16 06:39:32,Mobile,Completed,1399.1
10149,55,2024-01-07 18:27:38,Mobile,Completed,1396.49
10150,160,2024-11-03 16:19:56,Mobile,Completed,542.25
10151,130,2024-03-27 23:07:31,Web,Completed,129.09
10152,140,2024-11-20 01:09:33,Web,Completed,639.48
10153,132,2024-03-05 16:41:07,Web,Completed,1552.59
10154,71,2024-02-27 21:26:29,Marketplace,Completed,1127.55
10155,217,2024-04-03 22:23:23,Marketplace,Completed,621.33
10156,32,2024-12-06 21:41:28,Mobile,Completed,681.2
10157,207,2024-12-11 02:51:21,Mobile,Cancelled,872.48
10158,232,2024-08-29 03:26:26,Web,Completed,579.91
10159,150,2024-01-09 17:19:13,Marketplace,Completed,74.92
10160,284,2024-08-13 07:28:36,Mobile,Completed,591.78
10161,227,2024-04-19 01:00:24,Mobile,Cancelled,1574.19
10162,23,2024-09-23 11:52:21,Mobile,Completed,165.65
10163,143,2024-07-28 15:39:47,Web,Completed,684.76
10164,111,2024-11-15 09:58:16,Mobile,Completed,524.72
10165,113,2024-09-13 15:03:49,Mobile,Completed,343.65
10166,108,2024-04-24 19:32:09,Mobile,Completed,222.24
10167,282,2024-10-09 10:20:49,Web,Completed,290.85
10168,195,2024-03-28 15:55:55,Mobile,Completed,257.39
10169,79,2024-05-19 21:35:17,Marketplace,Completed,525.27
10170,217,2024-03-27 00:47:53,Mobile,Completed,274.63
10171,145,2024-03-21 08:43:22,Web,Refunded,1442.49
10172,147,2024-05-26 23:12:09,Marketplace,Completed,962.04
10173,43,2024-11-07 02:36:30,Web,Completed,822.73
10174,311,2024-06-11 09:01:04,Web,Completed,393.55
10175,316,2024-02-14 13:31:38,Marketplace,Refunded,10.56
