order_id,product_id,quantity
10001,132,5
10001,120,4
10001,120,2
10001,92,4
10002,20,4
10002,76,5
10002,79,3
10003,162,3
10004,141,3
10005,199,2
10006,72,1
10006,88,2
10006,132,4
10006,7,2
10007,168,2
10007,177,3
10007,138,1
10007,54,5
10008,97,3
10008,45,4
10008,126,4
10008,94,4
10009,158,3
10009,166,4
10009,144,4
10009,214,3
10010,56,4
10010,23,5
10010,113,5
10011,85,1
10011,28,3
10011,138,1
10011,148,5
10011,163,2
10012,22,2
10012,26,3
10012,144,1
10013,205,4
10013,188,2
10014,55,4
10014,36,1
10014,63,3
10015,4,1
10015,142,5
10015,15,4
10015,92,2
10016,48,1
10016,100,3
10016,8,3
10016,218,1
10017,152,1
10017,98,1
10018,6,4
10019,86,3
10019,92,5
10019,76,2
10019,173,2
10020,101,4
10020,133,4
10021,7,5
10022,81,2
10022,128,1
10023,35,5
10023,143,1
10023,181,5
10024,8,2
10024,35,3
10024,37,1
10024,194,5
10025,206,3
10025,100,4
10025,153,2
10026,53,4
10027,141,1
10027,13,1
10027,204,4
10028,42,2
10028,171,1
10028,36,3
10028,195,2
10029,50,3
10029,146,4
10030,89,4
10030,177,3
10030,204,1
10030,123,4
10031,37,5
10031,25,4
10032,43,5
10032,149,5
10032,100,2
10032,9,4
10032,21,4
10033,201,2
10033,154,1
10033,21,5
10033,80,1
10034,91,1
10034,8,4
10034,200,1
10034,172,1
10035,66,2
10035,17,2
10035,116,4
10036,48,3
10037,129,2
10037,63,2
10038,178,2
10039,211,2
10039,130,1
10039,204,4
10039,57,2
10039,24,4
10040,180,5
10040,42,2
10040,30,3
10040,181,3
10040,44,5
10041,33,1
10041,20,1
10041,162,5
10041,66,4
10041,128,4
10042,178,5
10042,139,5
10042,70,2
10042,52,1
10042,116,1
10043,197,4
10043,169,3
10043,201,4
10043,96,5
10043,153,1
10044,213,5
10044,65,5
10044,207,3
10044,115,3
10044,57,1
10045,41,5
10045,171,2
10045,27,2
10046,27,5
10046,120,3
10047,218,3
10047,122,1
10047,142,5
10048,125,2
10048,124,1
10048,155,5
10048,214,3
10048,169,1
10049,39,4
10049,23,1
10049,192,3
10049,37,3
10050,171,5
10050,117,5
10050,54,1
10050,195,1
10051,41,4
10051,52,5
10052,37,3
10052,136,1
10052,188,2
10052,193,5
10053,65,4
10053,29,0
10053,136,4
10054,98,4
10054,161,4
10054,175,4
10054,202,4
10055,132,2
10055,95,3
10055,131,5
10055,35,3
10056,33,2
10056,99,3
10056,154,4
10057,85,3
10057,43,1
10057,192,2
10057,52,5
10058,152,4
10059,91,2
10059,12,2
10060,172,4
10061,140,2
10061,37,5
10061,18,1
10061,204,3
10061,147,1
10062,5,2
10063,172,5
10063,170,3
10064,175,4
10065,118,4
10066,31,4
10066,156,4
10066,71,5
10066,133,4
10066,206,5
10067,97,3
10067,81,3
10067,166,4
10067,139,4
10068,149,1
10068,212,5
10068,196,3
10068,64,1
10068,185,3
10069,152,2
10070,208,3
10070,34,3
10070,134,3
10071,46,3
10071,140,1
10071,157,5
10071,25,4
10071,216,5
10072,14,5
10073,105,3
10073,115,4
10073,206,5
10073,64,1
10073,9,5
10074,79,1
10074,192,4
10074,141,5
10074,204,1
10074,16,2
10075,204,1
10075,70,1
10075,116,1
10075,34,5
10076,49,1
10076,199,1
10076,104,4
10077,192,2
10077,181,3
10077,51,4
10078,79,1
10078,59,5
10079,194,5
10079,76,4
10079,65,4
10079,141,1
10079,96,2
10080,136,3
10081,146,1
10081,48,2
10081,197,4
10081,211,1
10082,118,4
10083,111,3
10083,35,1
10083,86,2
10084,179,3
10084,55,5
10085,203,5
10085,32,5
10085,24,2
10086,129,3
10086,56,4
10086,171,2
10086,196,5
10087,58,3
10087,158,2
10087,73,1
10087,31,1
10088,6,2
10088,46,5
10088,137,2
10089,87,2
10089,207,2
10090,201,1
10090,218,2
10090,21,5
10091,92,4
10091,200,4
10091,122,2
10091,177,5
10091,162,5
10092,127,2
10092,7,5
10092,181,5
10092,126,4
10093,49,2
10093,157,3
10093,215,2
10093,32,1
10094,78,2
10094,3,2
10094,125,1
10094,147,3
10095,208,2
10095,167,4
10095,161,4
10096,86,2
10096,209,4
10096,121,1
10096,126,3
10097,200,5
10097,113,4
10097,22,4
10097,175,4
10098,84,3
10098,40,3
10098,65,2
10098,3,4
10098,50,2
10099,57,3
10099,220,3
10099,25,2
10099,161,4
10099,143,3
10100,63,2
10100,24,3
10100,192,3
10100,125,3
10101,195,2
10101,48,4
10102,45,1
10103,188,3
10103,10,5
10104,198,3
10105,161,3
10105,203,2
10106,56,4
10106,93,2
10106,123,5
10107,198,3
10107,214,4
10107,54,3
10107,27,3
10107,113,5
10108,217,5
10108,78,1
10108,14,4
10108,91,2
10109,54,5
10109,97,2
10109,143,1
10110,88,3
10111,167,2
10112,177,5
10112,111,1
10113,182,2
10114,155,4
10114,214,1
10114,38,5
10115,80,3
10115,6,3
10115,210,2
10115,197,4
10115,146,2
10116,87,4
10117,158,3
10117,128,4
10117,38,2
10117,32,5
10117,144,5
10118,36,1
10119,109,2
10119,6,2
10119,175,4
10120,136,2
10121,2,1
10121,35,2
10121,2,4
10121,103,1
10121,94,1
10122,204,4
10123,125,2
10123,119,2
10123,15,2
10124,193,2
10124,187,5
10124,168,2
10124,119,2
10124,86,2
10125,88,2
10126,94,3
10126,136,5
10127,35,4
10128,53,3
10128,189,4
10128,144,4
10128,49,2
10129,36,4
10129,157,2
10129,129,3
10129,136,4
10129,42,5
10130,180,5
10130,9,1
10130,35,1
10131,138,1
10131,203,5
10131,193,2
10132,220,4
10132,167,2
10133,198,1
10133,37,4
10133,105,2
10134,42,3
10134,180,4
10134,195,3
10134,214,2
10135,149,3
10135,109,4
10135,33,3
10135,53,4
10136,200,1
10136,84,2
10136,108,5
10136,26,1
10137,177,1
10138,156,4
10139,175,2
10139,208,3
10139,189,1
10139,131,3
10139,183,4
10140,142,4
10140,12,3
10140,26,5
10140,70,5
10141,142,4
10142,92,2
10142,117,1
10142,136,3
10143,64,2
10143,65,2
10143,24,1
10143,142,5
10143,5,5
10144,57,5
10144,125,4
10144,211,3
10144,144,5
10145,154,4
10145,7,4
10145,101,4
10146,129,3
10146,22,3
10146,179,2
10146,112,2
10147,178,1
10147,109,1
10147,24,1
10147,134,2
10148,41,5
10148,113,5
10148,177,5
10149,184,1
10149,122,3
10149,16,2
10149,173,4
10149,40,5
10150,66,5
10151,48,3
10152,169,2
10152,170,1
10152,218,5
10153,142,4
10153,185,5
10153,64,3
10153,180,4
10154,187,3
10154,165,4
10154,89,3
10154,160,3
10155,115,4
10155,99,4
10155,99,1
10156,184,2
10156,137,2
10156,157,4
10156,111,5
10156,45,4
10157,3,2
10157,187,3
10157,126,5
10158,86,2
10158,84,1
10158,217,3
10158,207,5
10159,83,4
10160,18,4
10160,56,2
10161,185,4
10161,190,4
10161,90,5
10162,114,2
10162,45,1
10163,78,3
10163,197,1
10163,186,2
10163,185,1
10163,115,1
10164,179,4
10164,134,2
10165,84,4
10165,114,3
10165,34,2
10166,5,3
10167,67,5
10168,46,1
10168,189,1
10168,216,4
10169,146,2
10169,116,1
10169,148,2
10169,109,3
10170,136,4
10170,48,5
10170,184,5
10171,162,3
10171,14,5
10171,94,5
10171,193,4
10171,199,5
10172,18,3
10172,37,3
10172,91,4
10172,104,2
10173,9,3
10173,8,2
10173,69,1
10173,133,4
10173,42,4
10174,161,5
10175,116,1
10176,108,1
10176,28,5
10176,211,4
10177,220,1
10177,88,3
10177,125,5
10177,210,1
10178,132,1
10178,199,1
10179,61,5
10179,111,4
10179,172,4
10179,163,3
10179,49,4
10180,173,5
10180,169,2
10180,85,3
10180,170,4
10180,7,4
10181,128,5
10181,217,2
10182,156,4
10183,8,3
10184,177,5
10184,162,1
10184,201,4
10185,99,5
10185,213,2
10185,167,1
10185,6,1
10185,176,4
10186,218,1
10186,102,5
10187,201,5
10187,25,2
10187,216,3
10187,129,3
10188,167,3
10189,46,2
10190,26,3
10190,143,3
10191,215,1
10192,162,1
10192,160,2
10192,155,4
10192,131,5
10193,206,3
10193,76,2
10193,129,1
10193,65,4
10194,30,3
10194,78,3
10195,187,4
10195,113,2
10195,153,2
10196,69,2
10196,97,2
10196,106,4
10196,157,5
10197,220,5
10198,208,1
10198,9,5
10199,86,2
10199,77,2
10199,81,2
10200,119,3
10200,191,2
10200,177,1
10201,29,4
10201,165,5
10201,147,5
10201,139,4
10202,176,1
10203,170,2
10203,188,4
10203,220,4
10203,127,2
10203,101,4
10204,159,2
10204,13,2
10204,88,4
10204,155,1
10204,165,5
10205,148,3
10205,203,4
10205,84,1
10205,94,2
10205,47,5
10206,78,1
10206,96,1
10206,135,3
10207,169,3
10208,149,2
10208,212,4
10208,216,3
10209,143,3
10209,134,2
10209,70,1
10209,61,4
10210,30,1
10210,58,1
10210,67,3
10211,114,3
10212,83,3
10212,200,5
10213,82,5
10213,17,5
10214,9,4
10214,200,4
10214,5,2
10214,88,2
10214,5,5
10215,42,4
10215,70,4
10215,67,5
10215,90,3
10215,165,5
10216,83,2
10216,134,3
10216,150,1
10216,171,4
10216,14,5
10217,160,2
10217,145,2
10218,169,3
10218,44,3
10218,16,1
10219,121,5
10219,139,1
10219,157,4
10219,207,4
10219,216,5
10220,162,4
10220,179,3
10220,113,4
10220,191,2
10221,32,3
10221,2,3
10221,166,4
10221,9,3
10221,113,3
10222,84,4
10222,95,2
10222,5,5
10222,113,5
10223,178,1
10223,54,2
10223,77,2
10223,140,2
10224,13,1
10224,111,1
10224,158,1
10225,135,2
10225,2,3
10225,86,2
10225,172,4
10225,192,3
10226,41,2
10226,28,5
10226,46,2
10226,76,1
10226,158,2
10227,6,2
10227,216,4
10228,202,3
10229,77,1
10229,170,4
10230,164,5
10230,83,2
10230,105,5
10230,67,1
10230,65,2
10231,172,2
10232,189,2
10232,123,2
10233,125,1
10233,182,4
10233,83,2
10234,82,5
10234,142,1
10234,157,3
10234,25,3
10234,199,3
10235,98,2
10236,89,4
10236,38,3
10236,62,4
10237,203,2
10237,110,2
10238,86,3
10239,67,3
10239,93,4
10240,7,5
10240,216,1
10241,16,4
10242,64,1
10242,66,4
10243,165,4
10243,125,2
10243,118,3
10243,58,5
10244,156,5
10244,160,3
10244,62,3
10244,81,1
10244,53,1
10245,56,4
10245,178,4
10246,6,1
10246,210,4
